name,status
Steven Kandouw," Wakil Gubernur Sulawesi Utara"
Elly Engelbert Lasut," Bupati Kepulauan Talaud"
Rita Maya Dondokambey Tamuntuan," Ketua TP PKK Provinsi Sulut"
Christiany Eugenia Paruntu," Mantan Bupati Minahasa Selatan"
James Sumendap," Bupati Minahasa Tenggara"
Andrei Angouw," Wali Kota Manado"
Tatong Bara," Mantan Wali Kota Kotamobagu"
Vicky Lumentut," Mantan Wali Kota Manado"
Irjen Pol. (Purn.) Dr. Ronny Franky Sompie," Mantan Direktur Jenderal Imigrasi Kementerian Hukum dan Hak Asasi Manusia"
Irjen. Pol. (Purn.) Drs. Carlo Brix Tewu," Mantan Kapolda Sulut"
Mayjen TNI (Purn.) Wanti Waranei Franky Mamahit," Mantan Panglima Komando Daerah Militer XIII/Merdeka"
Felly Estelita Runtuwene," Anggota DPR RI"
Maya Rumantir," Anggota DPD RI"
J. Mario Belougi," Tokoh pergerakan arus bawah"
Djafar Alkatiri," Anggota DPD RI"
Wempi Welly Rengkung," Wakil Bupati Manokwari Selatan"
