name,status
Mahyeldi Ansharullah," Gubernur Sumatera Barat"
Audy Joinaldy," Wakil Gubernur Sumatera Barat"
Mulyadi," Mantan Cagub Sumbar 2020"
Indra Catri," Mantan Bupati Agam"
Sutan Riska Tuanku Kerajaan," Bupati Dharmasraya"
Andre Rosiade," Ketua DPD Gerindra Sumbar"
Epyardi Asda," Bupati Solok"
Fadly Amran," Wali Kota Padang Panjang"
Benny Utama," Bupati Pasaman"
M. Shadiq Pasadigoe," Mantan Bupati Tanah Datar"
Riza Falepi," Mantan Wali Kota Payakumbuh"
Fauzi Bahar," Mantan Wali Kota Padang"
Guspardi Gaus," Anggota DPR RI"
Baharuddin R.," Anggota DPRD Pasaman Barat"
Ferrial Sofyan," Mantan Wakil Ketua DPRD DKI Jakarta"
Ali Mukhni," Mantan Bupati Padang Pariaman"
Syamsu Rahim," Mantan Bupati Solok"
Yusuf Lubis," Mantan Bupati Pasaman"
Irman Gusman," Mantan Ketua DPD RI"
Aristo Munandar," Mantan Anggota DPRD Sumatra Barat"
