name,status
Edy Rahmayadi," Gubernur Sumatera Utara"
Musa Rajekshah," Wakil Gubernur Sumatera Utara"
Bobby Nasution," Wali Kota Medan"
Hassanudin," Penjabat Gubernur Sumatera Utara"
Sihar Sitorus," Anggota DPR RI 2019-24"
Tifatul Sembiring," Anggota DPR RI"
Gus Irawan Pasaribu," Anggota DPR RI"
Ashari Tambunan," Mantan Bupati Deli Serdang"
Jopinus Ramli Saragih," Mantan Bupati Simalungun"
Djarot Saiful Hidayat," Anggota DPR RI"
Effendi Simbolon," Anggota DPR RI"
Martin Manurung," Anggota DPR RI"
Dedi Iskandar Batubara," Anggota DPD RI"
