kab_id,kab_name,prov_id,prov_name
11,ACEH BARAT,1,ACEH
12,ACEH BARAT DAYA,1,ACEH
13,ACEH BESAR,1,ACEH
14,ACEH JAYA,1,ACEH
15,ACEH SELATAN,1,ACEH
16,ACEH SINGKIL,1,ACEH
17,ACEH TAMIANG,1,ACEH
18,ACEH TENGAH,1,ACEH
19,ACEH TENGGARA,1,ACEH
110,ACEH TIMUR,1,ACEH
117,KOTA LHOKSEUMAWE,1,ACEH
118,KOTA SABANG,1,ACEH
119,KOTA SUBULUSSALAM,1,ACEH
120,NAGAN RAYA,1,ACEH
21,ASAHAN,2,SUMATERA UTARA
22,BATU BARA,2,SUMATERA UTARA
23,DAIRI,2,SUMATERA UTARA
24,DELI SERDANG,2,SUMATERA UTARA
25,HUMBANG HASUNDUTAN,2,SUMATERA UTARA
26,KARO,2,SUMATERA UTARA
27,KOTA BINJAI,2,SUMATERA UTARA
28,KOTA GUNUNGSITOLI,2,SUMATERA UTARA
29,KOTA MEDAN,2,SUMATERA UTARA
210,KOTA PADANG SIDEMPUAN,2,SUMATERA UTARA
111,JAKARTA BARAT,11,DKI JAKARTA
112,JAKARTA PUSAT,11,DKI JAKARTA
113,JAKARTA SELATAN,11,DKI JAKARTA
114,JAKARTA TIMUR,11,DKI JAKARTA
115,JAKARTA UTARA,11,DKI JAKARTA
116,KEPULAUAN SERIBU,11,DKI JAKARTA
121,BANDUNG,12,JAWA BARAT
122,BANDUNG BARAT,12,JAWA BARAT
123,BEKASI,12,JAWA BARAT
220,NIAS,2,SUMATERA UTARA
230,TAPANULI SELATAN,2,SUMATERA UTARA
31,AGAM,3,SUMATERA BARAT
32,DHARMASRAYA,3,SUMATERA BARAT
33,KEPULAUAN MENTAWAI,3,SUMATERA BARAT
34,KOTA BUKITTINGGI,3,SUMATERA BARAT
35,KOTA PADANG,3,SUMATERA BARAT
36,KOTA PADANG PANJANG,3,SUMATERA BARAT
37,KOTA PARIAMAN,3,SUMATERA BARAT
38,KOTA PAYAKUMBUH,3,SUMATERA BARAT
39,KOTA SAWAHLUNTO,3,SUMATERA BARAT
310,KOTA SOLOK,3,SUMATERA BARAT
41,BENGKALIS,4,RIAU
42,INDRAGIRI HILIR,4,RIAU
43,INDRAGIRI HULU,4,RIAU
44,KAMPAR,4,RIAU
45,KEPULAUAN MERANTI,4,RIAU
46,KOTA DUMAI,4,RIAU
47,KOTA PEKANBARU,4,RIAU
48,KUANTAN SINGINGI,4,RIAU
49,PELALAWAN,4,RIAU
410,ROKAN HILIR,4,RIAU
411,ROKAN HULU,4,RIAU
412,SIAK,4,RIAU
51,BATANGHARI,5,JAMBI
212,BARITO TIMUR,21,KALIMANTAN TENGAH
213,BARITO UTARA,21,KALIMANTAN TENGAH
214,GUNUNG MAS,21,KALIMANTAN TENGAH
215,KAPUAS,21,KALIMANTAN TENGAH
216,KATINGAN,21,KALIMANTAN TENGAH
217,KOTA PALANGKARAYA,21,KALIMANTAN TENGAH
218,KOTAWARINGIN BARAT,21,KALIMANTAN TENGAH
219,KOTAWARINGIN TIMUR,21,KALIMANTAN TENGAH
221,BALANGAN,22,KALIMANTAN SELATAN
222,BANJAR,22,KALIMANTAN SELATAN
223,BARITO KUALA,22,KALIMANTAN SELATAN
224,HULU SUNGAI SELATAN,22,KALIMANTAN SELATAN
226,HULU SUNGAI UTARA,22,KALIMANTAN SELATAN
227,KOTA BANJARBARU,22,KALIMANTAN SELATAN
228,KOTA BANJARMASIN,22,KALIMANTAN SELATAN
229,KOTABARU,22,KALIMANTAN SELATAN
231,BERAU,23,KALIMANTAN TIMUR
232,KOTA BALIKPAPAN,23,KALIMANTAN TIMUR
233,KOTA BONTANG,23,KALIMANTAN TIMUR
311,HALMAHERA BARAT,31,MALUKU UTARA
312,HALMAHERA SELATAN,31,MALUKU UTARA
313,HALMAHERA TENGAH,31,MALUKU UTARA
314,HALMAHERA TIMUR,31,MALUKU UTARA
315,HALMAHERA UTARA,31,MALUKU UTARA
316,KEPULAUAN SULA,31,MALUKU UTARA
317,KOTA TERNATE,31,MALUKU UTARA
318,KOTA TIDORE KEPULAUAN,31,MALUKU UTARA
319,PULAU MOROTAI,31,MALUKU UTARA
52,BUNGO,5,JAMBI
53,KERINCI,5,JAMBI
54,KOTA JAMBI,5,JAMBI
55,KOTA SUNGAI PENUH,5,JAMBI
56,MERANGIN,5,JAMBI
57,MUARO JAMBI,5,JAMBI
58,SAROLANGUN,5,JAMBI
59,TANJUNG JABUNG BARAT,5,JAMBI
510,TANJUNG JABUNG TIMUR,5,JAMBI
511,TEBO,5,JAMBI
61,BANYUASIN,6,SUMATERA SELATAN
62,EMPAT LAWANG,6,SUMATERA SELATAN
63,KOTA LUBUKLINGGAU,6,SUMATERA SELATAN
64,KOTA PAGAR ALAM,6,SUMATERA SELATAN
65,KOTA PALEMBANG,6,SUMATERA SELATAN
66,KOTA PRABUMULIH,6,SUMATERA SELATAN
67,LAHAT,6,SUMATERA SELATAN
68,MUARA ENIM,6,SUMATERA SELATAN
69,MUSI BANYUASIN,6,SUMATERA SELATAN
610,MUSI RAWAS,6,SUMATERA SELATAN
611,MUSI RAWAS UTARA,6,SUMATERA SELATAN
612,OGAN ILIR,6,SUMATERA SELATAN
613,OGAN KOMERING ILIR,6,SUMATERA SELATAN
614,OGAN KOMERING ULU,6,SUMATERA SELATAN
615,OGAN KOMERING ULU SELATAN,6,SUMATERA SELATAN
616,OGAN KOMERING ULU TIMUR,6,SUMATERA SELATAN
617,PENUKAL ABAB LEMATANG ILIR,6,SUMATERA SELATAN
71,BENGKULU SELATAN,7,BENGKULU
72,BENGKULU TENGAH,7,BENGKULU
73,BENGKULU UTARA,7,BENGKULU
74,KAUR,7,BENGKULU
75,KEPAHIANG,7,BENGKULU
