kel_id,kel_name,kec_id,kec_name,kab_id,kab_name,prov_id,prov_name
11111111,ALUE BAGOK,1111,ARONGAN LAMBALEK,11,ACEH BARAT,1,ACEH
11111112,ALUE BATEE,1111,ARONGAN LAMBALEK,11,ACEH BARAT,1,ACEH
11111113,ALUE SUNDAK,1111,ARONGAN LAMBALEK,11,ACEH BARAT,1,ACEH
11111114,ARONGAN,1111,ARONGAN LAMBALEK,11,ACEH BARAT,1,ACEH
11111115,COT BULOH,1111,ARONGAN LAMBALEK,11,ACEH BARAT,1,ACEH
11111116,COT JURUMUDI,1111,ARONGAN LAMBALEK,11,ACEH BARAT,1,ACEH
11111117,COT KUMBANG,1111,ARONGAN LAMBALEK,11,ACEH BARAT,1,ACEH
11111118,DRIEN RAMPAK,1111,ARONGAN LAMBALEK,11,ACEH BARAT,1,ACEH
11111119,GUNONG PULO,1111,ARONGAN LAMBALEK,11,ACEH BARAT,1,ACEH
111111110,KARANG HAMPA,1111,ARONGAN LAMBALEK,11,ACEH BARAT,1,ACEH
1131132210,BLANG PREH,11322,SIMPANG TIGA,13,ACEH BESAR,1,ACEH
111111120,SEUNEUBOK TEUNGOH,1111,ARONGAN LAMBALEK,11,ACEH BARAT,1,ACEH
11111121,ALUE BAKONG,1112,BUBON,11,ACEH BARAT,1,ACEH
11111122,ALUE LHOK,1112,BUBON,11,ACEH BARAT,1,ACEH
11111123,BEURAWANG,1112,BUBON,11,ACEH BARAT,1,ACEH
11111124,BLANG SIBEUTONG,1112,BUBON,11,ACEH BARAT,1,ACEH
11111125,COT KEUMUNENG,1112,BUBON,11,ACEH BARAT,1,ACEH
11111126,COT LADA,1112,BUBON,11,ACEH BARAT,1,ACEH
11111127,GUNONG PANAH,1112,BUBON,11,ACEH BARAT,1,ACEH
11111128,KUALA PLING,1112,BUBON,11,ACEH BARAT,1,ACEH
11111129,KUTA PADANG,1112,BUBON,11,ACEH BARAT,1,ACEH
111111210,LAYUNG,1112,BUBON,11,ACEH BARAT,1,ACEH
111111211,LICEH,1112,BUBON,11,ACEH BARAT,1,ACEH
111111212,PEULANTEU SP,1112,BUBON,11,ACEH BARAT,1,ACEH
111111213,RAMBONG,1112,BUBON,11,ACEH BARAT,1,ACEH
111111112,BUBON,11111,WOYLA BARAT,11,ACEH BARAT,1,ACEH
111111114,KAWAY XVI,11111,WOYLA BARAT,11,ACEH BARAT,1,ACEH
111111115,MEUREUBO,11111,WOYLA BARAT,11,ACEH BARAT,1,ACEH
111111116,PANTE CEUREUMEN,11111,WOYLA BARAT,11,ACEH BARAT,1,ACEH
111111117,PANTON REU,11111,WOYLA BARAT,11,ACEH BARAT,1,ACEH
111111118,SAMATIGA,11111,WOYLA BARAT,11,ACEH BARAT,1,ACEH
111111121,ARONGAN LAMBALEK,11112,WOYLA TIMUR,11,ACEH BARAT,1,ACEH
111111122,BUBON,11112,WOYLA TIMUR,11,ACEH BARAT,1,ACEH
111111123,JOHAN PAHLAWAN,11112,WOYLA TIMUR,11,ACEH BARAT,1,ACEH
111111125,MEUREUBO,11112,WOYLA TIMUR,11,ACEH BARAT,1,ACEH
111111126,PANTE CEUREUMEN,11112,WOYLA TIMUR,11,ACEH BARAT,1,ACEH
111111127,PANTON REU,11112,WOYLA TIMUR,11,ACEH BARAT,1,ACEH
111111214,SEUMULENG,1112,BUBON,11,ACEH BARAT,1,ACEH
111111215,SEUNEUBOK TRAP,1112,BUBON,11,ACEH BARAT,1,ACEH
111111216,SUAK PANGKAT,1112,BUBON,11,ACEH BARAT,1,ACEH
111111217,ULEE BLANG,1112,BUBON,11,ACEH BARAT,1,ACEH
11111131,ACEH I,1113,JOHAN PAHLAWAN,11,ACEH BARAT,1,ACEH
11111132,ACEH II,1113,JOHAN PAHLAWAN,11,ACEH BARAT,1,ACEH
11111133,BALI,1113,JOHAN PAHLAWAN,11,ACEH BARAT,1,ACEH
11111134,BANTEN I,1113,JOHAN PAHLAWAN,11,ACEH BARAT,1,ACEH
11111135,BANTEN II,1113,JOHAN PAHLAWAN,11,ACEH BARAT,1,ACEH
11111136,BANTEN III,1113,JOHAN PAHLAWAN,11,ACEH BARAT,1,ACEH
11111137,BENGKULU,1113,JOHAN PAHLAWAN,11,ACEH BARAT,1,ACEH
11111138,DAERAH ISTIMEWA YOGYAKARTA,1113,JOHAN PAHLAWAN,11,ACEH BARAT,1,ACEH
11111139,DKI JAKARTA I,1113,JOHAN PAHLAWAN,11,ACEH BARAT,1,ACEH
111111310,DKI JAKARTA II,1113,JOHAN PAHLAWAN,11,ACEH BARAT,1,ACEH
111111311,DKI JAKARTA III,1113,JOHAN PAHLAWAN,11,ACEH BARAT,1,ACEH
111111312,GORONTALO,1113,JOHAN PAHLAWAN,11,ACEH BARAT,1,ACEH
111111313,JAMBI,1113,JOHAN PAHLAWAN,11,ACEH BARAT,1,ACEH
111111314,JAWA BARAT I,1113,JOHAN PAHLAWAN,11,ACEH BARAT,1,ACEH
111111315,JAWA BARAT II,1113,JOHAN PAHLAWAN,11,ACEH BARAT,1,ACEH
