prov_id,prov_name
1,ACEH
2,SUMATERA UTARA
3,SUMATERA BARAT
4,RIAU
5,JAMBI
6,SUMATERA SELATAN
7,BENGKULU
8,LAMPUNG
9,KEPULAUAN BANGKA BELITUNG
10,KEPULAUAN RIAU
11,DKI JAKARTA
12,JAWA BARAT
13,JAWA TENGAH
14,DAERAH ISTIMEWA YOGYAKARTA
15,JAWA TIMUR
16,BANTEN
17,BALI
18,NUSA TENGGARA BARAT
19,NUSA TENGGARA TIMUR
20,KALIMANTAN BARAT
21,KALIMANTAN TENGAH
22,KALIMANTAN SELATAN
23,KALIMANTAN TIMUR
24,SULAWESI UTARA
25,SULAWESI TENGAH
26,SULAWESI SELATAN
27,SULAWESI TENGGARA
28,GORONTALO
29,SULAWESI BARAT
30,MALUKU
31,MALUKU UTARA
32,PAPUA
33,PAPUA BARAT
34,KALIMANTAN UTARA
35,+Luar Negeri
